Date,Price,Open,High,Low,Vol.,Change %
4-Nov-19,"1,287.89","1,277.78","1,289.93","1,277.78",-,0.95%
1-Nov-19,"1,275.80","1,268.59","1,277.88","1,268.59",-,0.60%
31-Oct-19,"1,268.23","1,276.42","1,279.72","1,266.97",-,-0.58%
30-Oct-19,"1,275.67","1,272.48","1,275.84","1,268.43",-,0.19%
29-Oct-19,"1,273.26","1,274.65","1,274.65","1,268.63",-,-0.08%
28-Oct-19,"1,274.34","1,274.85","1,277.71","1,270.25",-,-0.05%
25-Oct-19,"1,274.94","1,272.49","1,275.03","1,266.45",-,0.16%
24-Oct-19,"1,272.88","1,265.69","1,273.12","1,265.69",-,0.71%
23-Oct-19,"1,263.85","1,258.40","1,264.31","1,256.14",-,0.22%
22-Oct-19,"1,261.05","1,256.94","1,261.75","1,251.56",-,0.31%
21-Oct-19,"1,257.14","1,251.86","1,259.32","1,250.95",-,0.51%
18-Oct-19,"1,250.80","1,254.10","1,256.13","1,248.71",-,-0.31%
17-Oct-19,"1,254.74","1,255.92","1,265.86","1,254.67",-,-0.19%
16-Oct-19,"1,257.17","1,258.49","1,261.64","1,254.52",-,-0.09%
15-Oct-19,"1,258.30","1,249.10","1,261.19","1,249.02",-,0.91%
14-Oct-19,"1,246.97","1,251.48","1,251.48","1,240.21",-,-0.53%
11-Oct-19,"1,253.64","1,233.63","1,253.65","1,231.13",-,1.97%
10-Oct-19,"1,229.39","1,222.82","1,232.62","1,215.23",-,0.61%
9-Oct-19,"1,221.94","1,215.26","1,226.65","1,213.76",-,0.50%
8-Oct-19,"1,215.91","1,229.11","1,230.29","1,215.65",-,-1.00%
7-Oct-19,"1,228.15","1,217.84","1,229.09","1,216.58",-,0.80%
4-Oct-19,"1,218.42","1,210.72","1,219.07","1,207.17",-,0.70%
3-Oct-19,"1,209.97","1,208.19","1,212.62","1,201.03",-,0.07%
2-Oct-19,"1,209.15","1,242.71","1,242.71","1,209.13",-,-2.72%
1-Oct-19,"1,242.91","1,262.22","1,266.00","1,242.68",-,-1.46%
30-Sep-19,"1,261.35","1,256.13","1,262.84","1,253.83",-,0.37%
27-Sep-19,"1,256.71","1,253.37","1,260.14","1,253.37",-,0.37%
26-Sep-19,"1,252.08","1,241.90","1,255.02","1,240.79",-,0.65%
25-Sep-19,"1,243.94","1,247.70","1,247.70","1,233.19",-,-0.45%
24-Sep-19,"1,249.62","1,252.72","1,254.68","1,248.92",-,-0.09%
23-Sep-19,"1,250.79","1,256.76","1,257.71","1,247.37",-,-0.62%
20-Sep-19,"1,258.61","1,256.62","1,261.37","1,253.09",-,0.44%
19-Sep-19,"1,253.12","1,244.37","1,254.08","1,243.02",-,0.69%
18-Sep-19,"1,244.58","1,243.02","1,246.77","1,241.81",-,0.03%
17-Sep-19,"1,244.17","1,243.74","1,246.85","1,240.60",-,0.04%
16-Sep-19,"1,243.71","1,248.71","1,248.72","1,243.55",-,-0.50%
13-Sep-19,"1,249.97","1,247.54","1,251.98","1,245.87",-,0.10%
12-Sep-19,"1,248.70","1,246.65","1,257.16","1,241.14",-,0.20%
11-Sep-19,"1,246.17","1,236.97","1,246.78","1,236.97",-,0.75%
10-Sep-19,"1,236.87","1,234.47","1,237.07","1,228.24",-,0.20%
9-Sep-19,"1,234.45","1,238.89","1,241.10","1,232.13",-,-0.36%
6-Sep-19,"1,238.95","1,235.07","1,238.95","1,232.46",-,0.31%
5-Sep-19,"1,235.13","1,229.89","1,236.42","1,229.89",-,0.52%
4-Sep-19,"1,228.79","1,222.40","1,232.87","1,222.40",-,0.79%
3-Sep-19,"1,219.16","1,220.99","1,220.99","1,213.77",-,-0.22%
2-Sep-19,"1,221.82","1,218.14","1,226.37","1,218.14",-,0.42%
30-Aug-19,"1,216.67","1,210.26","1,221.12","1,210.26",-,0.53%
